Time[s], CS, SO_SIO1, WP_SIO2, SO_SO00, SCLK, RESET_SI03
0.007221952, 0, 0, 1, 0, 1, 0
0.007222042, 0, 1, 1, 0, 1, 0
0.007222044, 0, 1, 1, 0, 0, 0
0.007222130, 0, 1, 1, 0, 1, 0
0.007222220, 0, 1, 1, 0, 0, 0
0.007222308, 0, 1, 1, 0, 1, 0
0.007222398, 0, 1, 1, 0, 0, 0
0.007222486, 0, 1, 1, 0, 1, 0
0.007222576, 0, 1, 1, 0, 0, 0
0.007222578, 0, 0, 1, 0, 0, 0
0.007223662, 0, 0, 1, 0, 1, 0
0.007223754, 0, 0, 1, 0, 0, 0
0.007223840, 0, 0, 1, 0, 1, 0
0.007223932, 0, 0, 1, 0, 0, 0
0.007224018, 0, 0, 1, 0, 1, 0
0.007224110, 0, 0, 1, 0, 0, 0
0.007224196, 0, 0, 1, 0, 1, 0
0.007224288, 0, 0, 1, 0, 0, 0
0.007224374, 0, 0, 1, 0, 1, 0
0.007224466, 0, 0, 1, 0, 0, 0
0.007224552, 0, 0, 1, 0, 1, 0
0.007224642, 0, 1, 1, 0, 1, 0
0.007224644, 0, 1, 1, 0, 0, 0
0.007224730, 0, 1, 1, 0, 1, 0
0.007224822, 0, 1, 1, 0, 0, 0
0.007224824, 0, 0, 1, 0, 0, 0
0.007224908, 0, 0, 1, 0, 1, 0
0.007225000, 0, 0, 1, 0, 0, 0
0.007226352, 0, 0, 1, 0, 1, 0
0.007226444, 0, 0, 1, 0, 0, 0
0.007226530, 0, 0, 1, 0, 1, 0
0.007226620, 0, 0, 1, 0, 0, 0
0.007226708, 0, 0, 1, 0, 1, 0
